instrument,companyName,cik,form,filedDate,accessionNumber,reportDate,primaryDocument,primaryDocDescription,primaryDocumentUrl,detail_url
MAG7,"Meta Platforms, Inc.",0001326801,144,2025-09-02T00:00:00Z,0001921094-25-001061,,xsl144X01/primary_doc.xml,,https://www.sec.gov/Archives/edgar/data/1326801/000192109425001061/xsl144X01/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/1326801/000192109425001061/0001921094-25-001061-index.htm
MAG7,Apple Inc.,0000320193,4,2025-08-29T00:00:00Z,0001214128-25-000005,2025-08-28,xslF345X05/wk-form4_1756506606.xml,FORM 4,https://www.sec.gov/Archives/edgar/data/320193/000121412825000005/xslF345X05/wk-form4_1756506606.xml,https://www.sec.gov/Archives/edgar/data/320193/000121412825000005/0001214128-25-000005-index.htm
BTC,"Cantor Equity Partners I, Inc.  (CEPO)  (CIK 0002027708)",0002027708,425,2025-08-28T00:00:00Z,0001213900-25-081877,,,,,https://www.sec.gov/Archives/edgar/data/2027708/000121390025081877/0001213900-25-081877-index.htm
MAG7,Apple Inc.,0000320193,144,2025-08-28T00:00:00Z,0001921094-25-001042,,xsl144X01/primary_doc.xml,,https://www.sec.gov/Archives/edgar/data/320193/000192109425001042/xsl144X01/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/320193/000192109425001042/0001921094-25-001042-index.htm
MAG7,"Meta Platforms, Inc.",0001326801,4,2025-08-28T00:00:00Z,0000950103-25-010935,2025-08-26,xslF345X05/dp233505_4-anderson.xml,FORM 4,https://www.sec.gov/Archives/edgar/data/1326801/000095010325010935/xslF345X05/dp233505_4-anderson.xml,https://www.sec.gov/Archives/edgar/data/1326801/000095010325010935/0000950103-25-010935-index.htm
MAG7,"Meta Platforms, Inc.",0001326801,4,2025-08-28T00:00:00Z,0000950103-25-010933,2025-08-26,xslF345X05/dp233504_4-newstead.xml,FORM 4,https://www.sec.gov/Archives/edgar/data/1326801/000095010325010933/xslF345X05/dp233504_4-newstead.xml,https://www.sec.gov/Archives/edgar/data/1326801/000095010325010933/0000950103-25-010933-index.htm
MAG7,Apple Inc.,0000320193,4,2025-08-27T00:00:00Z,0001631982-25-000007,2025-08-25,xslF345X05/wk-form4_1756333811.xml,FORM 4,https://www.sec.gov/Archives/edgar/data/320193/000163198225000007/xslF345X05/wk-form4_1756333811.xml,https://www.sec.gov/Archives/edgar/data/320193/000163198225000007/0001631982-25-000007-index.htm
MAG7,AMAZON COM INC,0001018724,N-PX,2025-08-27T00:00:00Z,0001104659-25-084022,2025-06-30,xslN-PX_X01/primary_doc.xml,,https://www.sec.gov/Archives/edgar/data/1018724/000110465925084022/xslN-PX_X01/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/1018724/000110465925084022/0001104659-25-084022-index.htm
MAG7,"Meta Platforms, Inc.",0001326801,4,2025-08-27T00:00:00Z,0000950103-25-010816,2025-08-25,xslF345X05/dp233408_4-olivan.xml,FORM 4,https://www.sec.gov/Archives/edgar/data/1326801/000095010325010816/xslF345X05/dp233408_4-olivan.xml,https://www.sec.gov/Archives/edgar/data/1326801/000095010325010816/0000950103-25-010816-index.htm
MAG7,"Meta Platforms, Inc.",0001326801,144,2025-08-26T00:00:00Z,0001921094-25-001034,,xsl144X01/primary_doc.xml,,https://www.sec.gov/Archives/edgar/data/1326801/000192109425001034/xsl144X01/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/1326801/000192109425001034/0001921094-25-001034-index.htm
MAG7,AMAZON COM INC,0001018724,4,2025-08-25T00:00:00Z,0001018724-25-000108,2025-08-21,xslF345X05/wk-form4_1756157026.xml,FORM 4,https://www.sec.gov/Archives/edgar/data/1018724/000101872425000108/xslF345X05/wk-form4_1756157026.xml,https://www.sec.gov/Archives/edgar/data/1018724/000101872425000108/0001018724-25-000108-index.htm
