instrument,companyName,cik,form,filedDate,accessionNumber,reportDate,primaryDocument,primaryDocDescription,primaryDocumentUrl,detail_url
BTC,Valkyrie ETF Trust II  (CIK 0001877493),0001877493,497K,2025-01-31T00:00:00Z,0001213900-25-008814,,,,,https://www.sec.gov/Archives/edgar/data/1877493/000121390025008814/0001213900-25-008814-index.htm
BTC,Calamos ETF Trust  (CIK 0001579881),0001579881,485APOS,2024-11-20T00:00:00Z,0001104659-24-121067,,,,,https://www.sec.gov/Archives/edgar/data/1579881/000110465924121067/0001104659-24-121067-index.htm
BTC,GraniteShares ETF Trust  (CIK 0001689873),0001689873,497K,2024-11-14T00:00:00Z,0001493152-24-045602,,,,,https://www.sec.gov/Archives/edgar/data/1689873/000149315224045602/0001493152-24-045602-index.htm
TON,"Ramaco Resources, Inc.  (METC, METCB, METCL)  (CIK 0001687187)",0001687187,8-K,2024-11-04T00:00:00Z,0001558370-24-014264,,,,,https://www.sec.gov/Archives/edgar/data/1687187/000155837024014264/0001558370-24-014264-index.htm
TON,"CF Industries Holdings, Inc.  (CF)  (CIK 0001324404)",0001324404,8-K,2024-10-30T00:00:00Z,0001324404-24-000024,,,,,https://www.sec.gov/Archives/edgar/data/1324404/000132440424000024/0001324404-24-000024-index.htm
BTC,NEOS ETF Trust  (CIK 0001848758),0001848758,CORRESP,2024-10-08T00:00:00Z,0001999371-24-013109,,,,,https://www.sec.gov/Archives/edgar/data/1848758/000199937124013109/0001999371-24-013109-index.htm
BTC,PROSHARES TRUST  (CIK 0001174610),0001174610,497K,2024-09-26T00:00:00Z,0001683863-24-005640,,,,,https://www.sec.gov/Archives/edgar/data/1174610/000168386324005640/0001683863-24-005640-index.htm
TON,"CF Industries Holdings, Inc.  (CF)  (CIK 0001324404)",0001324404,8-K,2024-08-07T00:00:00Z,0001324404-24-000018,,,,,https://www.sec.gov/Archives/edgar/data/1324404/000132440424000018/0001324404-24-000018-index.htm
TON,"Ramaco Resources, Inc.  (METC, METCB, METCL)  (CIK 0001687187)",0001687187,8-K,2024-08-07T00:00:00Z,0001558370-24-011346,,,,,https://www.sec.gov/Archives/edgar/data/1687187/000155837024011346/0001558370-24-011346-index.htm
BTC,Fidelity Wise Origin Bitcoin Fund  (FBTC)  (CIK 0001852317),0001852317,POS AM,2024-08-01T00:00:00Z,0001193125-24-191602,,,,,https://www.sec.gov/Archives/edgar/data/1852317/000119312524191602/0001193125-24-191602-index.htm
BTC,"FTAC Emerald Acquisition Corp.  (FLD, FLDDU, FLDDW)  (CIK 0001889123)",0001889123,8-K,2024-07-24T00:00:00Z,0001213900-24-063749,,,,,https://www.sec.gov/Archives/edgar/data/1889123/000121390024063749/0001213900-24-063749-index.htm
BTC,Franklin Templeton Digital Holdings Trust  (EZBC)  (CIK 0001992870),0001992870,424B3,2024-07-12T00:00:00Z,0001680359-24-000184,,,,,https://www.sec.gov/Archives/edgar/data/1992870/000168035924000184/0001680359-24-000184-index.htm
BTC,"Semler Scientific, Inc.  (SMLR)  (CIK 0001554859)",0001554859,8-K,2024-06-06T00:00:00Z,0001104659-24-069125,,,,,https://www.sec.gov/Archives/edgar/data/1554859/000110465924069125/0001104659-24-069125-index.htm
BTC,World Funds Trust  (CIK 0001396092),0001396092,497,2024-05-02T00:00:00Z,0001999371-24-005587,,,,,https://www.sec.gov/Archives/edgar/data/1396092/000199937124005587/0001999371-24-005587-index.htm
TON,"CF Industries Holdings, Inc.  (CF)  (CIK 0001324404)",0001324404,8-K,2024-05-01T00:00:00Z,0001324404-24-000012,,,,,https://www.sec.gov/Archives/edgar/data/1324404/000132440424000012/0001324404-24-000012-index.htm
BTC,Grayscale Bitcoin Trust (BTC)  (GBTC)  (CIK 0001588489),0001588489,FWP,2024-04-18T00:00:00Z,0000950170-24-045531,,,,,https://www.sec.gov/Archives/edgar/data/1588489/000095017024045531/0000950170-24-045531-index.htm
BTC,Volatility Shares Trust  (CIK 0001884021),0001884021,497K,2024-04-08T00:00:00Z,0001999371-24-004534,,,,,https://www.sec.gov/Archives/edgar/data/1884021/000199937124004534/0001999371-24-004534-index.htm
BTC,Tidal Trust II  (CIK 0001924868),0001924868,CORRESP,2024-04-08T00:00:00Z,0001999371-24-004579,,,,,https://www.sec.gov/Archives/edgar/data/1924868/000199937124004579/0001999371-24-004579-index.htm
BTC,Bitwise Bitcoin ETF  (BITB)  (CIK 0001763415),0001763415,10-K,2024-03-27T00:00:00Z,0000950170-24-037294,,,,,https://www.sec.gov/Archives/edgar/data/1763415/000095017024037294/0000950170-24-037294-index.htm
BTC,Fidelity Wise Origin Bitcoin Fund  (FBTC)  (CIK 0001852317),0001852317,10-K,2024-03-21T00:00:00Z,0000950170-24-034695,,,,,https://www.sec.gov/Archives/edgar/data/1852317/000095017024034695/0000950170-24-034695-index.htm
TON,"CF Industries Holdings, Inc.  (CF)  (CIK 0001324404)",0001324404,8-K/A,2024-02-15T00:00:00Z,0001324404-24-000005,,,,,https://www.sec.gov/Archives/edgar/data/1324404/000132440424000005/0001324404-24-000005-index.htm
TON,"HECLA MINING CO/DE/  (HL, HL-PB)  (CIK 0000719413)",0000719413,8-K,2024-02-14T00:00:00Z,0001193125-24-035267,,,,,https://www.sec.gov/Archives/edgar/data/719413/000119312524035267/0001193125-24-035267-index.htm
TON,"CF Industries Holdings, Inc.  (CF)  (CIK 0001324404)",0001324404,8-K,2024-02-14T00:00:00Z,0001324404-24-000003,,,,,https://www.sec.gov/Archives/edgar/data/1324404/000132440424000003/0001324404-24-000003-index.htm
BTC,Valkyrie ETF Trust II  (CIK 0001877493),0001877493,CORRESP,2024-02-07T00:00:00Z,0001999371-24-001609,,,,,https://www.sec.gov/Archives/edgar/data/1877493/000199937124001609/0001999371-24-001609-index.htm
BTC,Grayscale Bitcoin Trust (BTC)  (GBTC)  (CIK 0001588489),0001588489,FWP,2024-02-01T00:00:00Z,0000950170-24-009836,,,,,https://www.sec.gov/Archives/edgar/data/1588489/000095017024009836/0000950170-24-009836-index.htm
BTC,Tidal Commodities Trust I  (DEFI)  (CIK 0001985840),0001985840,S-1/A,2024-01-26T00:00:00Z,0001999371-24-000875,,,,,https://www.sec.gov/Archives/edgar/data/1985840/000199937124000875/0001999371-24-000875-index.htm
BTC,Invesco Galaxy Bitcoin ETF  (BTCO)  (CIK 0001855781),0001855781,424B3,2024-01-11T00:00:00Z,0001193125-24-006062,,,,,https://www.sec.gov/Archives/edgar/data/1855781/000119312524006062/0001193125-24-006062-index.htm
BTC,WisdomTree Bitcoin Fund  (BTCW)  (CIK 0001850391),0001850391,FWP,2024-01-11T00:00:00Z,0001214659-24-000631,,,,,https://www.sec.gov/Archives/edgar/data/1850391/000121465924000631/0001214659-24-000631-index.htm
BTC,VanEck Bitcoin Trust  (HODL)  (CIK 0001838028),0001838028,424B3,2024-01-10T00:00:00Z,0000930413-24-000073,,,,,https://www.sec.gov/Archives/edgar/data/1838028/000093041324000073/0000930413-24-000073-index.htm
BTC,Ark 21Shares Bitcoin ETF  (ARKB)  (CIK 0001869699),0001869699,S-1/A,2024-01-10T00:00:00Z,0001193125-24-005412,,,,,https://www.sec.gov/Archives/edgar/data/1869699/000119312524005412/0001193125-24-005412-index.htm
BTC,Franklin Templeton Digital Holdings Trust  (EZBC)  (CIK 0001992870),0001992870,S-1/A,2024-01-09T00:00:00Z,0001137439-24-000058,,,,,https://www.sec.gov/Archives/edgar/data/1992870/000113743924000058/0001137439-24-000058-index.htm
BTC,VanEck Bitcoin Trust  (HODL)  (CIK 0001838028),0001838028,CORRESP,2024-01-08T00:00:00Z,0000930413-24-000043,,,,,https://www.sec.gov/Archives/edgar/data/1838028/000093041324000043/0000930413-24-000043-index.htm
BTC,Ark 21Shares Bitcoin ETF  (ARKB)  (CIK 0001869699),0001869699,CORRESP,2024-01-08T00:00:00Z,0001193125-24-003817,,,,,https://www.sec.gov/Archives/edgar/data/1869699/000119312524003817/0001193125-24-003817-index.htm
BTC,wShares Bitcoin Fund  (CIK 0001811978),0001811978,S-1/A,2024-01-04T00:00:00Z,0000919574-24-000073,,,,,https://www.sec.gov/Archives/edgar/data/1811978/000091957424000073/0000919574-24-000073-index.htm
BTC,Bitwise Bitcoin ETF  (BITB)  (CIK 0001763415),0001763415,CORRESP,2023-12-29T00:00:00Z,0001999371-23-001326,,,,,https://www.sec.gov/Archives/edgar/data/1763415/000199937123001326/0001999371-23-001326-index.htm
BTC,iShares Bitcoin Trust  (IBIT)  (CIK 0001980994),0001980994,S-1/A,2023-12-29T00:00:00Z,0001437749-23-035559,,,,,https://www.sec.gov/Archives/edgar/data/1980994/000143774923035559/0001437749-23-035559-index.htm
BTC,Tidal Commodities Trust I  (DEFI)  (CIK 0001985840),0001985840,S-1,2023-12-22T00:00:00Z,0001999371-23-001192,,,,,https://www.sec.gov/Archives/edgar/data/1985840/000199937123001192/0001999371-23-001192-index.htm
BTC,ONEFUND Trust  (CIK 0001345125),0001345125,497K,2023-12-22T00:00:00Z,0001133228-23-006513,,,,,https://www.sec.gov/Archives/edgar/data/1345125/000113322823006513/0001133228-23-006513-index.htm
BTC,VanEck Bitcoin Trust  (HODL)  (CIK 0001838028),0001838028,UPLOAD,2023-12-20T00:00:00Z,0000000000-23-013913,,,,,https://www.sec.gov/Archives/edgar/data/1838028/000000000023013913/0000000000-23-013913-index.htm
BTC,WisdomTree Bitcoin Fund  (BTCW)  (CIK 0001850391),0001850391,S-1/A,2023-12-18T00:00:00Z,0001214659-23-016547,,,,,https://www.sec.gov/Archives/edgar/data/1850391/000121465923016547/0001214659-23-016547-index.htm
BTC,Tidal Commodities Trust I  (DEFI)  (CIK 0001985840),0001985840,S-1,2023-12-18T00:00:00Z,0001839882-23-034059,,,,,https://www.sec.gov/Archives/edgar/data/1985840/000183988223034059/0001839882-23-034059-index.htm
BTC,VanEck Bitcoin Trust  (HODL)  (CIK 0001838028),0001838028,S-1/A,2023-12-08T00:00:00Z,0000930413-23-002543,,,,,https://www.sec.gov/Archives/edgar/data/1838028/000093041323002543/0000930413-23-002543-index.htm
BTC,Pando Asset Spot Bitcoin Trust  (CIK 0002001771),0002001771,S-1/A,2023-12-07T00:00:00Z,0001829126-23-007903,,,,,https://www.sec.gov/Archives/edgar/data/2001771/000182912623007903/0001829126-23-007903-index.htm
BTC,WisdomTree Bitcoin Trust  (BTCW)  (CIK 0001850391),0001850391,S-1/A,2023-11-16T00:00:00Z,0001214659-23-015256,,,,,https://www.sec.gov/Archives/edgar/data/1850391/000121465923015256/0001214659-23-015256-index.htm
BTC,Global X Bitcoin Trust  (CIK 0001874070),0001874070,S-1/A,2023-11-14T00:00:00Z,0000930413-23-002454,,,,,https://www.sec.gov/Archives/edgar/data/1874070/000093041323002454/0000930413-23-002454-index.htm
BTC,EA Series Trust  (CIK 0001592900),0001592900,497K,2023-11-03T00:00:00Z,0001829126-23-007104,,,,,https://www.sec.gov/Archives/edgar/data/1592900/000182912623007104/0001829126-23-007104-index.htm
BTC,Grayscale Bitcoin Trust (BTC)  (GBTC)  (CIK 0001588489),0001588489,FWP,2023-10-20T00:00:00Z,0000950170-23-054384,,,,,https://www.sec.gov/Archives/edgar/data/1588489/000095017023054384/0000950170-23-054384-index.htm
BTC,Grayscale Bitcoin Trust (BTC)  (GBTC)  (CIK 0001588489),0001588489,FWP,2023-10-19T00:00:00Z,0000950170-23-054208,,,,,https://www.sec.gov/Archives/edgar/data/1588489/000095017023054208/0000950170-23-054208-index.htm
BTC,PROSHARES TRUST  (CIK 0001174610),0001174610,497K,2023-09-28T00:00:00Z,0001683863-23-006614,,,,,https://www.sec.gov/Archives/edgar/data/1174610/000168386323006614/0001683863-23-006614-index.htm
BTC,PROSHARES TRUST  (CIK 0001174610),0001174610,CORRESP,2023-09-25T00:00:00Z,0001683863-23-006331,,,,,https://www.sec.gov/Archives/edgar/data/1174610/000168386323006331/0001683863-23-006331-index.htm
BTC,Ark 21Shares Bitcoin ETF  (ARKB)  (CIK 0001869699),0001869699,S-1/A,2023-09-07T00:00:00Z,0001193125-23-230750,,,,,https://www.sec.gov/Archives/edgar/data/1869699/000119312523230750/0001193125-23-230750-index.htm
TON,CONSOL Energy Inc.  (CEIX)  (CIK 0001710366),0001710366,8-K,2023-08-08T00:00:00Z,0001710366-23-000016,,,,,https://www.sec.gov/Archives/edgar/data/1710366/000171036623000016/0001710366-23-000016-index.htm
TON,"Ramaco Resources, Inc.  (METC, METCB, METCL)  (CIK 0001687187)",0001687187,8-K,2023-08-08T00:00:00Z,0001558370-23-013974,,,,,https://www.sec.gov/Archives/edgar/data/1687187/000155837023013974/0001558370-23-013974-index.htm
TON,"Alpha Metallurgical Resources, Inc.  (AMR)  (CIK 0001704715)",0001704715,8-K,2023-08-04T00:00:00Z,0001704715-23-000048,,,,,https://www.sec.gov/Archives/edgar/data/1704715/000170471523000048/0001704715-23-000048-index.htm
TON,"CF Industries Holdings, Inc.  (CF)  (CIK 0001324404)",0001324404,8-K,2023-08-02T00:00:00Z,0001324404-23-000017,,,,,https://www.sec.gov/Archives/edgar/data/1324404/000132440423000017/0001324404-23-000017-index.htm
BTC,wShares Bitcoin Fund  (CIK 0001811978),0001811978,S-1/A,2023-05-08T00:00:00Z,0000919574-23-002845,,,,,https://www.sec.gov/Archives/edgar/data/1811978/000091957423002845/0000919574-23-002845-index.htm
TON,CONSOL Energy Inc.  (CEIX)  (CIK 0001710366),0001710366,8-K,2023-05-02T00:00:00Z,0001710366-23-000010,,,,,https://www.sec.gov/Archives/edgar/data/1710366/000171036623000010/0001710366-23-000010-index.htm
TON,"CF Industries Holdings, Inc.  (CF)  (CIK 0001324404)",0001324404,8-K,2023-05-01T00:00:00Z,0001324404-23-000010,,,,,https://www.sec.gov/Archives/edgar/data/1324404/000132440423000010/0001324404-23-000010-index.htm
BTC,Bitwise Funds Trust  (CIK 0001928561),0001928561,497K,2023-03-21T00:00:00Z,0001387131-23-003695,,,,,https://www.sec.gov/Archives/edgar/data/1928561/000138713123003695/0001387131-23-003695-index.htm
TON,"Ramaco Resources, Inc.  (METC, METCB, METCL)  (CIK 0001687187)",0001687187,8-K,2023-03-08T00:00:00Z,0001558370-23-003160,,,,,https://www.sec.gov/Archives/edgar/data/1687187/000155837023003160/0001558370-23-003160-index.htm
BTC,wShares Bitcoin Fund  (CIK 0001811978),0001811978,S-1/A,2023-01-20T00:00:00Z,0000919574-23-000394,,,,,https://www.sec.gov/Archives/edgar/data/1811978/000091957423000394/0000919574-23-000394-index.htm
BTC,HIVE Blockchain Technologies Ltd.  (HIVE)  (CIK 0001720424),0001720424,6-K,2023-01-11T00:00:00Z,0001062993-23-000806,,,,,https://www.sec.gov/Archives/edgar/data/1720424/000106299323000806/0001062993-23-000806-index.htm
TON,PEABODY ENERGY CORP  (BTU)  (CIK 0001064728),0001064728,8-K,2022-11-17T00:00:00Z,0001064728-22-000069,,,,,https://www.sec.gov/Archives/edgar/data/1064728/000106472822000069/0001064728-22-000069-index.htm
BTC,Osprey Bitcoin Trust  (OBTC)  (CIK 0001767057),0001767057,10-Q,2022-11-09T00:00:00Z,0000930413-22-001932,,,,,https://www.sec.gov/Archives/edgar/data/1767057/000093041322001932/0000930413-22-001932-index.htm
TON,"Alpha Metallurgical Resources, Inc.  (AMR)  (CIK 0001704715)",0001704715,8-K,2022-11-07T00:00:00Z,0001704715-22-000051,,,,,https://www.sec.gov/Archives/edgar/data/1704715/000170471522000051/0001704715-22-000051-index.htm
BTC,AdvisorShares Trust  (CIK 0001408970),0001408970,497K,2022-11-01T00:00:00Z,0001829126-22-018525,,,,,https://www.sec.gov/Archives/edgar/data/1408970/000182912622018525/0001829126-22-018525-index.htm
BTC,Osprey Bitcoin Trust  (OBTC)  (CIK 0001767057),0001767057,10-Q,2022-08-11T00:00:00Z,0000930413-22-001454,,,,,https://www.sec.gov/Archives/edgar/data/1767057/000093041322001454/0000930413-22-001454-index.htm
TON,"Ramaco Resources, Inc.  (METC, METCB, METCL)  (CIK 0001687187)",0001687187,8-K,2022-08-08T00:00:00Z,0001558370-22-012631,,,,,https://www.sec.gov/Archives/edgar/data/1687187/000155837022012631/0001558370-22-012631-index.htm
BTC,wShares Bitcoin Fund  (CIK 0001811978),0001811978,S-1/A,2022-07-19T00:00:00Z,0000919574-22-004278,,,,,https://www.sec.gov/Archives/edgar/data/1811978/000091957422004278/0000919574-22-004278-index.htm
BTC,PROSHARES TRUST  (CIK 0001174610),0001174610,CORRESP,2022-06-15T00:00:00Z,0001683863-22-005015,,,,,https://www.sec.gov/Archives/edgar/data/1174610/000168386322005015/0001683863-22-005015-index.htm
TON,PEABODY ENERGY CORP  (BTU)  (CIK 0001064728),0001064728,8-K,2022-05-12T00:00:00Z,0001064728-22-000047,,,,,https://www.sec.gov/Archives/edgar/data/1064728/000106472822000047/0001064728-22-000047-index.htm
TON,PEABODY ENERGY CORP  (BTU)  (CIK 0001064728),0001064728,8-K,2022-04-28T00:00:00Z,0001064728-22-000036,,,,,https://www.sec.gov/Archives/edgar/data/1064728/000106472822000036/0001064728-22-000036-index.htm
BTC,VanEck ETF Trust  (CIK 0001137360),0001137360,497K,2022-04-27T00:00:00Z,0001137360-22-000368,,,,,https://www.sec.gov/Archives/edgar/data/1137360/000113736022000368/0001137360-22-000368-index.htm
TON,PEABODY ENERGY CORP  (BTU)  (CIK 0001064728),0001064728,8-K,2022-02-28T00:00:00Z,0001064728-22-000015,,,,,https://www.sec.gov/Archives/edgar/data/1064728/000106472822000015/0001064728-22-000015-index.htm
TON,"Ramaco Resources, Inc.  (METC, METCB, METCL)  (CIK 0001687187)",0001687187,8-K,2022-02-24T00:00:00Z,0001558370-22-001826,,,,,https://www.sec.gov/Archives/edgar/data/1687187/000155837022001826/0001558370-22-001826-index.htm
TON,"HECLA MINING CO/DE/  (HL, HL-PB)  (CIK 0000719413)",0000719413,8-K,2022-02-17T00:00:00Z,0001437749-22-003598,,,,,https://www.sec.gov/Archives/edgar/data/719413/000143774922003598/0001437749-22-003598-index.htm
BTC,wShares Bitcoin Fund  (CIK 0001811978),0001811978,S-1/A,2022-02-15T00:00:00Z,0000919574-22-001660,,,,,https://www.sec.gov/Archives/edgar/data/1811978/000091957422001660/0000919574-22-001660-index.htm
BTC,Valkyrie ETF Trust II  (CIK 0001877493),0001877493,497K,2022-02-08T00:00:00Z,0001387131-22-001395,,,,,https://www.sec.gov/Archives/edgar/data/1877493/000138713122001395/0001387131-22-001395-index.htm
BTC,Osprey Bitcoin Trust  (OBTC)  (CIK 0001767057),0001767057,10-12G/A,2022-01-26T00:00:00Z,0000930413-22-000100,,,,,https://www.sec.gov/Archives/edgar/data/1767057/000093041322000100/0000930413-22-000100-index.htm
BTC,Valkyrie ETF Trust II  (CIK 0001877493),0001877493,497K,2021-12-15T00:00:00Z,0001387131-21-012041,,,,,https://www.sec.gov/Archives/edgar/data/1877493/000138713121012041/0001387131-21-012041-index.htm
TON,"CF Industries Holdings, Inc.  (CF)  (CIK 0001324404)",0001324404,8-K,2021-11-04T00:00:00Z,0001324404-21-000030,,,,,https://www.sec.gov/Archives/edgar/data/1324404/000132440421000030/0001324404-21-000030-index.htm
BTC,World Funds Trust  (CIK 0001396092),0001396092,497K,2021-08-17T00:00:00Z,0001387131-21-008674,,,,,https://www.sec.gov/Archives/edgar/data/1396092/000138713121008674/0001387131-21-008674-index.htm
TON,CONSOL Energy Inc.  (CEIX)  (CIK 0001710366),0001710366,8-K,2021-08-03T00:00:00Z,0001437749-21-018213,,,,,https://www.sec.gov/Archives/edgar/data/1710366/000143774921018213/0001437749-21-018213-index.htm
BTC,STONE RIDGE TRUST  (CIK 0001559992),0001559992,485BPOS,2021-07-23T00:00:00Z,0001193125-21-222638,,,,,https://www.sec.gov/Archives/edgar/data/1559992/000119312521222638/0001193125-21-222638-index.htm
BTC,World Funds Trust  (CIK 0001396092),0001396092,CORRESP,2021-07-16T00:00:00Z,0001387131-21-007404,,,,,https://www.sec.gov/Archives/edgar/data/1396092/000138713121007404/0001387131-21-007404-index.htm
TON,"HECLA MINING CO/DE/  (HL, HL-PB)  (CIK 0000719413)",0000719413,8-K,2021-05-18T00:00:00Z,0001437749-21-012582,,,,,https://www.sec.gov/Archives/edgar/data/719413/000143774921012582/0001437749-21-012582-index.htm
BTC,Kryptoin Bitcoin ETF Trust  (CIK 0001790727),0001790727,S-1/A,2021-04-09T00:00:00Z,0001193125-21-111553,,,,,https://www.sec.gov/Archives/edgar/data/1790727/000119312521111553/0001193125-21-111553-index.htm
BTC,WisdomTree Bitcoin Trust  (BTCW)  (CIK 0001850391),0001850391,S-1,2021-03-11T00:00:00Z,0001193125-21-077493,,,,,https://www.sec.gov/Archives/edgar/data/1850391/000119312521077493/0001193125-21-077493-index.htm
TON,"CF Industries Holdings, Inc.  (CF)  (CIK 0001324404)",0001324404,8-K,2021-02-17T00:00:00Z,0001324404-21-000004,,,,,https://www.sec.gov/Archives/edgar/data/1324404/000132440421000004/0001324404-21-000004-index.htm
TON,CONSOL Coal Resources LP  (CIK 0001637558),0001637558,8-K,2020-11-05T00:00:00Z,0001193125-20-286167,,,,,https://www.sec.gov/Archives/edgar/data/1637558/000119312520286167/0001193125-20-286167-index.htm
TON,"Ramaco Resources, Inc.  (METC, METCB, METCL)  (CIK 0001687187)",0001687187,8-K,2020-11-03T00:00:00Z,0001558370-20-012401,,,,,https://www.sec.gov/Archives/edgar/data/1687187/000155837020012401/0001558370-20-012401-index.htm
TON,"Contura Energy, Inc.  (AMR)  (CIK 0001704715)",0001704715,8-K,2020-08-07T00:00:00Z,0001704715-20-000037,,,,,https://www.sec.gov/Archives/edgar/data/1704715/000170471520000037/0001704715-20-000037-index.htm
TON,"CF Industries Holdings, Inc.  (CF)  (CIK 0001324404)",0001324404,8-K,2020-08-05T00:00:00Z,0001324404-20-000017,,,,,https://www.sec.gov/Archives/edgar/data/1324404/000132440420000017/0001324404-20-000017-index.htm
TON,"CF Industries Holdings, Inc.  (CF)  (CIK 0001324404)",0001324404,8-K,2020-05-06T00:00:00Z,0001324404-20-000010,,,,,https://www.sec.gov/Archives/edgar/data/1324404/000132440420000010/0001324404-20-000010-index.htm
TON,"Contura Energy, Inc.  (AMR)  (CIK 0001704715)",0001704715,8-K,2020-03-18T00:00:00Z,0001704715-20-000009,,,,,https://www.sec.gov/Archives/edgar/data/1704715/000170471520000009/0001704715-20-000009-index.htm
TON,"Ramaco Resources, Inc.  (METC, METCB, METCL)  (CIK 0001687187)",0001687187,8-K,2020-02-20T00:00:00Z,0001558370-20-001078,,,,,https://www.sec.gov/Archives/edgar/data/1687187/000155837020001078/0001558370-20-001078-index.htm
TON,"CF Industries Holdings, Inc.  (CF)  (CIK 0001324404)",0001324404,8-K,2020-02-12T00:00:00Z,0001324404-20-000002,,,,,https://www.sec.gov/Archives/edgar/data/1324404/000132440420000002/0001324404-20-000002-index.htm
TON,"Contura Energy, Inc.  (AMR)  (CIK 0001704715)",0001704715,8-K,2020-02-10T00:00:00Z,0001704715-20-000003,,,,,https://www.sec.gov/Archives/edgar/data/1704715/000170471520000003/0001704715-20-000003-index.htm
TON,"HECLA MINING CO/DE/  (HL, HL-PB)  (CIK 0000719413)",0000719413,8-K,2020-02-05T00:00:00Z,0001437749-20-001730,,,,,https://www.sec.gov/Archives/edgar/data/719413/000143774920001730/0001437749-20-001730-index.htm
TON,"Contura Energy, Inc.  (AMR)  (CIK 0001704715)",0001704715,8-K,2019-11-14T00:00:00Z,0001704715-19-000057,,,,,https://www.sec.gov/Archives/edgar/data/1704715/000170471519000057/0001704715-19-000057-index.htm
TON,"Ramaco Resources, Inc.  (METC, METCB, METCL)  (CIK 0001687187)",0001687187,8-K,2019-11-05T00:00:00Z,0001558370-19-009967,,,,,https://www.sec.gov/Archives/edgar/data/1687187/000155837019009967/0001558370-19-009967-index.htm
TON,"CF Industries Holdings, Inc.  (CF)  (CIK 0001324404)",0001324404,8-K,2019-10-30T00:00:00Z,0001324404-19-000021,,,,,https://www.sec.gov/Archives/edgar/data/1324404/000132440419000021/0001324404-19-000021-index.htm
BTC,Kryptoin Bitcoin ETF Trust  (CIK 0001790727),0001790727,S-1/A,2019-10-28T00:00:00Z,0001193125-19-276372,,,,,https://www.sec.gov/Archives/edgar/data/1790727/000119312519276372/0001193125-19-276372-index.htm
BTC,United States Bitcoin & Treasury Investment Trust  (CIK 0001750145),0001750145,S-1/A,2019-10-08T00:00:00Z,0000919574-19-006296,,,,,https://www.sec.gov/Archives/edgar/data/1750145/000091957419006296/0000919574-19-006296-index.htm
TON,"CF Industries Holdings, Inc.  (CF)  (CIK 0001324404)",0001324404,8-K,2019-07-31T00:00:00Z,0001324404-19-000016,,,,,https://www.sec.gov/Archives/edgar/data/1324404/000132440419000016/0001324404-19-000016-index.htm
TON,"Ramaco Resources, Inc.  (METC, METCB, METCL)  (CIK 0001687187)",0001687187,8-K,2019-05-07T00:00:00Z,0001437749-19-009018,,,,,https://www.sec.gov/Archives/edgar/data/1687187/000143774919009018/0001437749-19-009018-index.htm
TON,"CF Industries Holdings, Inc.  (CF)  (CIK 0001324404)",0001324404,8-K,2019-05-01T00:00:00Z,0001324404-19-000009,,,,,https://www.sec.gov/Archives/edgar/data/1324404/000132440419000009/0001324404-19-000009-index.htm
BTC,BITWISE BITCOIN ETF TRUST  (BITB)  (CIK 0001763415),0001763415,S-1/A,2019-04-16T00:00:00Z,0001493152-19-005505,,,,,https://www.sec.gov/Archives/edgar/data/1763415/000149315219005505/0001493152-19-005505-index.htm
TON,"CF Industries Holdings, Inc.  (CF)  (CIK 0001324404)",0001324404,8-K,2019-02-13T00:00:00Z,0001324404-19-000003,,,,,https://www.sec.gov/Archives/edgar/data/1324404/000132440419000003/0001324404-19-000003-index.htm
BTC,United States Bitcoin & Treasury Investment Trust  (CIK 0001750145),0001750145,S-1/A,2019-01-31T00:00:00Z,0000919574-19-000705,,,,,https://www.sec.gov/Archives/edgar/data/1750145/000091957419000705/0000919574-19-000705-index.htm
BTC,Bitcoin Investment Trust  (GBTC)  (CIK 0001588489),0001588489,DRSLTR,2018-12-06T00:00:00Z,0000950123-18-012268,,,,,https://www.sec.gov/Archives/edgar/data/1588489/000095012318012268/0000950123-18-012268-index.htm
TON,"CF Industries Holdings, Inc.  (CF)  (CIK 0001324404)",0001324404,8-K,2018-10-31T00:00:00Z,0001324404-18-000024,,,,,https://www.sec.gov/Archives/edgar/data/1324404/000132440418000024/0001324404-18-000024-index.htm
TON,"HECLA MINING CO/DE/  (HL, HL-PB)  (CIK 0000719413)",0000719413,8-K,2018-08-07T00:00:00Z,0001437749-18-014637,,,,,https://www.sec.gov/Archives/edgar/data/719413/000143774918014637/0001437749-18-014637-index.htm
TON,"CF Industries Holdings, Inc.  (CF)  (CIK 0001324404)",0001324404,8-K,2018-08-01T00:00:00Z,0001324404-18-000017,,,,,https://www.sec.gov/Archives/edgar/data/1324404/000132440418000017/0001324404-18-000017-index.htm
TON,"Ramaco Resources, Inc.  (METC, METCB, METCL)  (CIK 0001687187)",0001687187,CORRESP,2018-06-08T00:00:00Z,0001437749-18-011489,,,,,https://www.sec.gov/Archives/edgar/data/1687187/000143774918011489/0001437749-18-011489-index.htm
BTC,VanEck SolidX Bitcoin Trust  (CIK 0001668039),0001668039,S-1/A,2018-06-06T00:00:00Z,0001104659-18-038369,,,,,https://www.sec.gov/Archives/edgar/data/1668039/000110465918038369/0001104659-18-038369-index.htm
TON,Rhino Resource Partners LP  (CIK 0001490630),0001490630,8-K,2017-11-08T00:00:00Z,0001493152-17-012568,,,,,https://www.sec.gov/Archives/edgar/data/1490630/000149315217012568/0001493152-17-012568-index.htm
