instrument,timestamp_utc,open_price,high_price,low_price,close_price,record_timestamp_utc
BINANCE:BTCUSDT,2025-09-23 04:05:00+00:00,112406.38,112426.57,112356.0,112364.36,2025-09-23 04:00:15
BINANCE:BTCUSDT,2025-09-23 04:10:00+00:00,112281.97,112281.99,112168.38,112168.39,2025-09-23 04:05:15
BINANCE:BTCUSDT,2025-09-23 04:15:00+00:00,112132.04,112149.8,112086.12,112116.32,2025-09-23 04:10:15
BINANCE:BTCUSDT,2025-09-23 04:20:00+00:00,112172.85,112186.98,112122.27,112144.85,2025-09-23 04:15:15
BINANCE:BTCUSDT,2025-09-23 04:25:00+00:00,112156.05,112156.2,112082.16,112082.16,2025-09-23 04:20:15
BINANCE:BTCUSDT,2025-09-23 04:40:00+00:00,112275.55,112340.32,112237.87,112239.99,2025-09-23 04:35:15
BINANCE:BTCUSDT,2025-09-23 04:45:00+00:00,112272.92,112272.92,112225.78,112225.78,2025-09-23 04:40:15
BINANCE:BTCUSDT,2025-09-23 05:15:00+00:00,112633.72,112648.67,112599.01,112599.02,2025-09-23 05:10:15
BINANCE:BTCUSDT,2025-09-23 05:20:00+00:00,112619.35,112678.72,112609.89,112609.89,2025-09-23 05:15:15
BINANCE:BTCUSDT,2025-09-23 05:25:00+00:00,112718.58,112747.29,112661.34,112681.04,2025-09-23 05:20:15
BINANCE:BTCUSDT,2025-09-23 05:30:00+00:00,112777.76,112807.99,112766.52,112790.93,2025-09-23 05:25:15
BINANCE:BTCUSDT,2025-09-23 06:10:00+00:00,112788.11,112806.99,112758.54,112806.99,2025-09-23 06:05:15
BINANCE:BTCUSDT,2025-09-24 05:10:00+00:00,112210.15,112210.15,112210.14,112210.14,2025-09-24 05:10:16
BINANCE:BTCUSDT,2025-09-24 05:15:00+00:00,112237.77,112248.99,112237.77,112248.98,2025-09-24 05:15:16
BINANCE:BTCUSDT,2025-09-24 05:35:00+00:00,112310.52,112315.07,112310.52,112315.07,2025-09-24 05:35:16
BINANCE:BTCUSDT,2025-09-24 05:40:00+00:00,112460.0,112460.0,112447.97,112447.97,2025-09-24 05:40:16
BINANCE:BTCUSDT,2025-09-24 05:45:00+00:00,112490.36,112490.36,112490.35,112490.36,2025-09-24 05:45:16
BINANCE:BTCUSDT,2025-09-24 05:55:00+00:00,112653.87,112653.87,112653.86,112653.86,2025-09-24 05:55:16
BINANCE:BTCUSDT,2025-09-24 06:00:00+00:00,112636.85,112645.93,112636.84,112643.85,2025-09-24 06:00:16
BINANCE:BTCUSDT,2025-09-24 06:05:00+00:00,112644.21,112644.22,112644.21,112644.22,2025-09-24 06:05:16
BINANCE:BTCUSDT,2025-09-24 06:10:00+00:00,112769.02,112769.03,112769.02,112769.02,2025-09-24 06:10:16
BINANCE:BTCUSDT,2025-09-24 06:15:00+00:00,112732.97,112745.08,112732.97,112745.08,2025-09-24 06:15:16
BINANCE:BTCUSDT,2025-09-24 06:20:00+00:00,112690.98,112690.98,112652.26,112652.26,2025-09-24 06:20:16
BINANCE:BTCUSDT,2025-09-24 06:25:00+00:00,112569.01,112600.0,112569.01,112599.99,2025-09-24 06:25:16
BINANCE:BTCUSDT,2025-09-24 08:05:00+00:00,112515.49,112580.02,112515.49,112580.01,2025-09-24 08:08:36
BINANCE:BTCUSDT,2025-09-29 02:15:00+00:00,111826.79,111826.8,111805.92,111805.93,2025-09-29 02:15:15
BINANCE:BTCUSDT,2025-09-29 02:20:00+00:00,111798.65,111798.65,111788.0,111788.01,2025-09-29 02:20:15
BINANCE:BTCUSDT,2025-09-29 02:25:00+00:00,111944.82,111952.64,111933.74,111933.74,2025-09-29 02:25:15
BINANCE:BTCUSDT,2025-09-29 02:30:00+00:00,111885.07,111885.07,111833.71,111845.97,2025-09-29 02:30:15
BINANCE:BTCUSDT,2025-09-29 02:35:00+00:00,111787.71,111796.84,111787.7,111796.83,2025-09-29 02:35:15
BINANCE:BTCUSDT,2025-09-29 04:25:00+00:00,111825.83,111837.84,111812.13,111812.13,2025-09-29 04:29:06
BINANCE:BTCUSDT,2025-09-30 16:05:00+00:00,113106.4,113106.4,113066.41,113083.91,2025-09-30 16:05:15
BINANCE:BTCUSDT,2025-09-30 16:10:00+00:00,113132.0,113132.0,113113.76,113113.77,2025-09-30 16:10:15
BINANCE:BTCUSDT,2025-09-30 16:15:00+00:00,113069.4,113075.55,113064.21,113071.0,2025-09-30 16:15:15
BINANCE:BTCUSDT,2025-09-30 16:20:00+00:00,113122.59,113154.71,113085.55,113085.55,2025-09-30 16:20:15
BINANCE:BTCUSDT,2025-09-29 01:35:00+00:00,112076.35,112101.08,112016.13,112044.99,2025-09-30 19:12:11
BINANCE:BTCUSDT,2025-09-29 01:40:00+00:00,112045.0,112074.68,112014.4,112050.09,2025-09-30 19:12:11
BINANCE:BTCUSDT,2025-09-29 01:45:00+00:00,112050.09,112050.09,111830.54,111839.75,2025-09-30 19:12:11
BINANCE:BTCUSDT,2025-09-29 01:50:00+00:00,111839.74,111939.53,111800.0,111800.0,2025-09-30 19:12:11
BINANCE:BTCUSDT,2025-09-29 01:55:00+00:00,111800.0,111855.31,111721.79,111855.3,2025-09-30 19:12:11
BINANCE:BTCUSDT,2025-09-29 02:00:00+00:00,111855.3,111891.99,111719.49,111835.84,2025-09-30 19:12:11
BINANCE:BTCUSDT,2025-09-29 02:05:00+00:00,111835.83,111867.13,111762.45,111806.0,2025-09-30 19:12:11
BINANCE:BTCUSDT,2025-09-29 02:10:00+00:00,111805.99,111860.0,111795.76,111826.79,2025-09-30 19:12:11
BINANCE:BTCUSDT,2025-09-29 02:15:00+00:00,111826.79,111826.8,111784.32,111798.64,2025-09-30 19:12:11
BINANCE:BTCUSDT,2025-09-29 02:20:00+00:00,111798.65,111969.66,111788.0,111944.82,2025-09-30 19:12:11
BINANCE:BTCUSDT,2025-09-29 02:25:00+00:00,111944.82,112022.27,111871.48,111885.07,2025-09-30 19:12:11
BINANCE:BTCUSDT,2025-09-29 02:30:00+00:00,111885.07,111930.46,111787.0,111787.7,2025-09-30 19:12:11
BINANCE:BTCUSDT,2025-09-29 02:35:00+00:00,111787.71,111825.41,111699.99,111699.99,2025-09-30 19:12:11
BINANCE:BTCUSDT,2025-09-29 02:40:00+00:00,111699.99,111739.36,111641.26,111659.53,2025-09-30 19:12:11
BINANCE:BTCUSDT,2025-09-29 02:45:00+00:00,111659.53,111717.32,111632.72,111709.26,2025-09-30 19:12:11
BINANCE:BTCUSDT,2025-09-29 02:50:00+00:00,111709.26,111750.0,111670.78,111677.5,2025-09-30 19:12:11
BINANCE:BTCUSDT,2025-09-29 02:55:00+00:00,111677.51,111758.04,111677.5,111750.02,2025-09-30 19:12:11
BINANCE:BTCUSDT,2025-09-29 03:00:00+00:00,111750.02,111750.02,111660.02,111664.21,2025-09-30 19:12:11
BINANCE:BTCUSDT,2025-09-29 03:05:00+00:00,111664.21,111664.21,111600.24,111616.27,2025-09-30 19:12:11
BINANCE:BTCUSDT,2025-09-29 03:10:00+00:00,111616.27,111664.21,111588.07,111588.08,2025-09-30 19:12:11
BINANCE:BTCUSDT,2025-09-29 03:15:00+00:00,111588.07,111694.99,111588.07,111694.99,2025-09-30 19:12:11
BINANCE:BTCUSDT,2025-09-29 03:20:00+00:00,111694.98,111749.62,111664.87,111749.62,2025-09-30 19:12:11
BINANCE:BTCUSDT,2025-09-29 03:25:00+00:00,111749.62,111757.69,111694.91,111756.7,2025-09-30 19:12:11
BINANCE:BTCUSDT,2025-09-29 03:30:00+00:00,111756.69,111756.7,111716.59,111736.87,2025-09-30 19:12:11
BINANCE:BTCUSDT,2025-09-29 03:35:00+00:00,111736.87,111736.87,111706.67,111716.51,2025-09-30 19:12:11
BINANCE:BTCUSDT,2025-09-29 03:40:00+00:00,111716.51,111739.36,111704.94,111704.95,2025-09-30 19:12:11
BINANCE:BTCUSDT,2025-09-29 03:45:00+00:00,111704.94,111734.72,111677.61,111734.72,2025-09-30 19:12:11
BINANCE:BTCUSDT,2025-09-29 03:50:00+00:00,111734.71,111827.49,111734.71,111771.48,2025-09-30 19:12:11
BINANCE:BTCUSDT,2025-09-29 03:55:00+00:00,111771.48,111857.51,111771.47,111857.51,2025-09-30 19:12:11
BINANCE:BTCUSDT,2025-09-29 04:00:00+00:00,111857.51,111893.59,111813.15,111844.01,2025-09-30 19:12:11
BINANCE:BTCUSDT,2025-09-29 04:05:00+00:00,111844.01,111881.46,111826.26,111855.78,2025-09-30 19:12:11
BINANCE:BTCUSDT,2025-09-29 04:10:00+00:00,111855.77,111855.78,111800.0,111806.01,2025-09-30 19:12:11
BINANCE:BTCUSDT,2025-09-29 04:15:00+00:00,111806.01,111825.41,111750.0,111825.41,2025-09-30 19:12:11
BINANCE:BTCUSDT,2025-09-29 04:20:00+00:00,111825.4,111839.99,111791.05,111825.84,2025-09-30 19:12:11
BINANCE:BTCUSDT,2025-09-29 04:25:00+00:00,111825.83,111837.84,111812.13,111812.13,2025-09-30 19:12:11
BINANCE:BTCUSDT,2025-09-29 04:30:00+00:00,111812.13,111823.32,111812.13,111823.31,2025-09-30 19:12:11
BINANCE:BTCUSDT,2025-09-29 04:35:00+00:00,111823.32,111843.94,111803.07,111843.94,2025-09-30 19:12:11
BINANCE:BTCUSDT,2025-09-29 04:40:00+00:00,111843.93,111891.4,111822.91,111872.94,2025-09-30 19:12:11
BINANCE:BTCUSDT,2025-09-29 04:45:00+00:00,111872.93,111904.34,111831.35,111831.36,2025-09-30 19:12:11
BINANCE:BTCUSDT,2025-09-29 04:50:00+00:00,111831.36,111850.94,111816.43,111842.26,2025-09-30 19:12:11
BINANCE:BTCUSDT,2025-09-29 04:55:00+00:00,111842.25,111842.26,111812.0,111812.0,2025-09-30 19:12:11
BINANCE:BTCUSDT,2025-09-29 05:00:00+00:00,111812.01,111812.01,111707.18,111707.19,2025-09-30 19:12:11
BINANCE:BTCUSDT,2025-09-29 05:05:00+00:00,111707.18,111707.19,111631.11,111669.0,2025-09-30 19:12:11
BINANCE:BTCUSDT,2025-09-29 05:10:00+00:00,111669.0,111736.99,111660.0,111685.81,2025-09-30 19:12:11
BINANCE:BTCUSDT,2025-09-29 05:15:00+00:00,111685.8,111711.61,111611.0,111611.0,2025-09-30 19:12:11
BINANCE:BTCUSDT,2025-09-29 05:20:00+00:00,111611.01,111620.0,111575.38,111575.38,2025-09-30 19:12:11
BINANCE:BTCUSDT,2025-09-29 05:25:00+00:00,111575.38,111667.28,111575.38,111630.12,2025-09-30 19:12:11
BINANCE:BTCUSDT,2025-09-29 05:30:00+00:00,111630.13,111667.09,111598.91,111660.27,2025-09-30 19:12:11
BINANCE:BTCUSDT,2025-09-29 05:35:00+00:00,111660.01,111688.0,111643.0,111687.55,2025-09-30 19:12:11
BINANCE:BTCUSDT,2025-09-29 05:40:00+00:00,111687.01,111710.8,111662.09,111710.8,2025-09-30 19:12:11
BINANCE:BTCUSDT,2025-09-29 05:45:00+00:00,111710.79,111711.0,111704.37,111711.0,2025-09-30 19:12:11
BINANCE:BTCUSDT,2025-09-29 05:50:00+00:00,111711.0,111770.18,111710.99,111725.11,2025-09-30 19:12:11
BINANCE:BTCUSDT,2025-09-29 05:55:00+00:00,111725.1,111753.34,111716.2,111753.34,2025-09-30 19:12:11
BINANCE:BTCUSDT,2025-09-29 06:00:00+00:00,111753.34,111783.3,111664.74,111664.74,2025-09-30 19:12:11
BINANCE:BTCUSDT,2025-09-29 06:05:00+00:00,111664.75,111793.11,111664.74,111767.44,2025-09-30 19:12:11
BINANCE:BTCUSDT,2025-09-29 06:10:00+00:00,111767.44,111767.44,111702.9,111711.02,2025-09-30 19:12:11
BINANCE:BTCUSDT,2025-09-29 06:15:00+00:00,111711.02,111799.0,111711.02,111799.0,2025-09-30 19:12:11
BINANCE:BTCUSDT,2025-09-29 06:20:00+00:00,111799.0,111834.0,111762.72,111771.82,2025-09-30 19:12:11
BINANCE:BTCUSDT,2025-09-29 06:25:00+00:00,111771.81,111800.95,111720.81,111800.94,2025-09-30 19:12:11
BINANCE:BTCUSDT,2025-09-29 06:30:00+00:00,111800.95,111850.0,111756.16,111758.21,2025-09-30 19:12:11
BINANCE:BTCUSDT,2025-09-29 06:35:00+00:00,111758.21,111800.0,111744.05,111791.01,2025-09-30 19:12:11
BINANCE:BTCUSDT,2025-09-29 06:40:00+00:00,111791.0,111791.01,111744.31,111744.31,2025-09-30 19:12:11
BINANCE:BTCUSDT,2025-09-29 06:45:00+00:00,111744.32,111754.01,111628.06,111726.62,2025-09-30 19:12:11
BINANCE:BTCUSDT,2025-09-29 06:50:00+00:00,111726.63,111739.36,111624.0,111700.0,2025-09-30 19:12:11
BINANCE:BTCUSDT,2025-09-29 06:55:00+00:00,111700.0,111700.0,111632.82,111632.83,2025-09-30 19:12:11
BINANCE:BTCUSDT,2025-09-29 07:00:00+00:00,111632.83,111680.0,111625.1,111625.11,2025-09-30 19:12:11
BINANCE:BTCUSDT,2025-09-29 07:05:00+00:00,111625.1,111673.01,111625.1,111640.02,2025-09-30 19:12:11
BINANCE:BTCUSDT,2025-09-29 07:10:00+00:00,111640.01,111750.98,111632.64,111635.46,2025-09-30 19:12:11
BINANCE:BTCUSDT,2025-09-29 07:15:00+00:00,111635.45,111669.77,111569.41,111590.26,2025-09-30 19:12:11
BINANCE:BTCUSDT,2025-09-29 07:20:00+00:00,111590.27,111609.0,111571.9,111571.91,2025-09-30 19:12:11
BINANCE:BTCUSDT,2025-09-29 07:25:00+00:00,111571.9,111615.55,111560.65,111607.86,2025-09-30 19:12:11
BINANCE:BTCUSDT,2025-09-29 07:30:00+00:00,111607.85,111700.01,111600.96,111644.65,2025-09-30 19:12:11
BINANCE:BTCUSDT,2025-09-29 07:35:00+00:00,111644.64,111791.01,111644.64,111761.59,2025-09-30 19:12:11
BINANCE:BTCUSDT,2025-09-29 07:40:00+00:00,111761.59,111790.55,111720.7,111732.78,2025-09-30 19:12:11
BINANCE:BTCUSDT,2025-09-29 07:45:00+00:00,111732.78,111809.49,111702.0,111783.05,2025-09-30 19:12:11
BINANCE:BTCUSDT,2025-09-29 07:50:00+00:00,111783.04,111840.0,111783.04,111817.09,2025-09-30 19:12:11
BINANCE:BTCUSDT,2025-09-29 07:55:00+00:00,111817.08,111865.96,111817.08,111865.95,2025-09-30 19:12:11
BINANCE:BTCUSDT,2025-09-29 08:00:00+00:00,111865.96,112134.71,111865.95,112006.04,2025-09-30 19:12:11
BINANCE:BTCUSDT,2025-09-29 08:05:00+00:00,112006.04,112060.24,111952.28,112060.23,2025-09-30 19:12:11
BINANCE:BTCUSDT,2025-09-29 08:10:00+00:00,112060.24,112125.0,111960.0,111989.41,2025-09-30 19:12:11
BINANCE:BTCUSDT,2025-09-29 08:15:00+00:00,111989.41,112119.75,111979.87,112106.96,2025-09-30 19:12:11
BINANCE:BTCUSDT,2025-09-29 08:20:00+00:00,112106.96,112107.11,112040.52,112107.1,2025-09-30 19:12:11
BINANCE:BTCUSDT,2025-09-29 08:25:00+00:00,112107.11,112223.36,112107.1,112201.73,2025-09-30 19:12:11
BINANCE:BTCUSDT,2025-09-29 08:30:00+00:00,112201.73,112219.58,112109.67,112178.99,2025-09-30 19:12:11
BINANCE:BTCUSDT,2025-09-29 08:35:00+00:00,112178.99,112217.99,112168.2,112198.65,2025-09-30 19:12:11
BINANCE:BTCUSDT,2025-09-29 08:40:00+00:00,112198.64,112260.24,112198.64,112260.24,2025-09-30 19:12:11
BINANCE:BTCUSDT,2025-09-29 08:45:00+00:00,112260.23,112421.99,112186.44,112205.99,2025-09-30 19:12:11
